EventId,event_name,event_date,fighter_1,fighter_2,winner
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Kevin Holland,Jack Della Maddalena,Jack Della Maddalena
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Raul Rosas Jr.,Terrence Mitchell,Raul Rosas Jr.
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Daniel Zellhuber,Christos Giagos,Daniel Zellhuber
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Fernando Padilla,Kyle Nelson,Kyle Nelson
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Loopy Godinez,Elise Reed,Loopy Godinez
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Roman Kopylov,Josh Fremd,Roman Kopylov
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Edgar Chairez,Daniel Lacerda,Draw
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Tracy Cortez,Jasmine Jasudavicius,Tracy Cortez
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Alex Reyes,Charlie Campbell,Charlie Campbell
1162,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16T23:00Z,Josefine Knutsson,Marnic Mann,Josefine Knutsson
1163,Road to UFC 2.5 + 2.6,2023-08-27T08:00Z,Shin Haraguchi,Jae Hyun Park,Shin Haraguchi
1163,Road to UFC 2.5 + 2.6,2023-08-27T08:00Z,Daermisi Zhawupasi,ChangHo Lee,ChangHo Lee
1163,Road to UFC 2.5 + 2.6,2023-08-27T08:00Z, Rongzhu,Sangwook Kim, Rongzhu
1163,Road to UFC 2.5 + 2.6,2023-08-27T08:00Z,Xiao Long,Shuya Kamikubo,Xiao Long
1163,Road to UFC 2.5 + 2.6,2023-08-27T08:00Z, Kaiwen,Koya Kanda, Kaiwen
